DESIGN,DEVICE
Compressor32_16bits_Brent_Kung,EP4CE22F17C6
Compressor32_16bits_Carry_Select,EP4CE22F17C6
Compressor32_16bits_Carry_Skip,EP4CE22F17C6
Compressor32_16bits_CLA,EP4CE22F17C6
Compressor32_16bits_Kogge_Stone,EP4CE22F17C6
Compressor32_16bits_Ladner_Fischer,EP4CE22F17C6
Compressor32_16bits_mais,EP4CE22F17C6
Compressor32_16bits_RCA,EP4CE22F17C6
Compressor32_16bits_Sklansky,EP4CE22F17C6
compressor32_8bits_brent_kung,EP4CE22F17C6
Compressor32_8bits_Carry_Select,EP4CE22F17C6
Compressor32_8bits_arry_Skip,EP4CE22F17C6
Compressor32_8bits_CLA,EP4CE22F17C6
Compressor32_8bits_Kogge_Stone,EP4CE22F17C6
Compressor32_8bits_Ladner_Fischer,EP4CE22F17C6
Compressor32_8bits_mais,EP4CE22F17C6
Compressor32_8bits_RCA,EP4CE22F17C6
Compressor32_8bits_Sklansky,EP4CE22F17C6
Compressor42_16bits_Brent_Kung,EP4CE22F17C6
Compressor42_16bits_Carry_Select,EP4CE22F17C6
Compressor42_16bits_Carry_Skip,EP4CE22F17C6
Compressor42_16bits_CLA,EP4CE22F17C6
Compressor42_16bits_Kogge_Stone,EP4CE22F17C6
Compressor42_16bits_Ladner_Fischer,EP4CE22F17C6
Compressor42_16bits_mais,EP4CE22F17C6
Compressor42_16bits_RCA,EP4CE22F17C6
Compressor42_16bits_Sklansky,EP4CE22F17C6
Compressor42_8bits_Brent_Kung,EP4CE22F17C6
Compressor42_8bits_Carry_Select,EP4CE22F17C6
Compressor42_8bits_Carry_Skip,EP4CE22F17C6
Compressor42_8bits_CLA,EP4CE22F17C6
Compressor42_8bits_Kogge_Stone,EP4CE22F17C6
Compressor42_8bits_Ladner_Fischer,EP4CE22F17C6
Compressor42_8bits_mais,EP4CE22F17C6
Compressor42_8bits_RCA,EP4CE22F17C6
Compressor42_8bits_Sklansky,EP4CE22F17C6
Compressor52_16bits_Brent_Kung,EP4CE22F17C6
Compressor52_16bits_Carry_Select,EP4CE22F17C6
Compressor52_16bits_Carry_Skip,EP4CE22F17C6
Compressor52_16bits_CLA,EP4CE22F17C6
Compressor52_16bits_Kogge_Stone,EP4CE22F17C6
Compressor52_16bits_Ladner_Fischer,EP4CE22F17C6
Compressor52_16bits_mais,EP4CE22F17C6
Compressor52_16bits_RCA,EP4CE22F17C6
Compressor52_16bits_Sklansky,EP4CE22F17C6
Compressor52_8bits_Brent_Kung,EP4CE22F17C6
Compressor52_8bits_Carry_Select,EP4CE22F17C6
Compressor52_8bits_Carry_Skip,EP4CE22F17C6
Compressor52_8bits_CLA,EP4CE22F17C6
Compressor52_8bits_Kogge_Stone,EP4CE22F17C6
Compressor52_8bits_Ladner_Fischer,EP4CE22F17C6
Compressor52_8bits_mais,EP4CE22F17C6
Compressor52_8bits_RCA,EP4CE22F17C6
Compressor52_8bits_Sklansky,EP4CE22F17C6
Compressor72_16bits_Brent_Kung,EP4CE22F17C6
Compressor72_16bits_Carry_Select,EP4CE22F17C6
Compressor72_16bits_Carry_Skip,EP4CE22F17C6
Compressor72_16bits_CLA,EP4CE22F17C6
Compressor72_16bits_Kogge_Stone,EP4CE22F17C6
Compressor72_16bits_Ladner_Fischer,EP4CE22F17C6
Compressor72_16bits_mais,EP4CE22F17C6
Compressor72_16bits_RCA,EP4CE22F17C6
Compressor72_16bits_Sklansky,EP4CE22F17C6
Compressor72_8bits_Brent_Kung,EP4CE22F17C6
Compressor72_8bits_Carry_Select,EP4CE22F17C6
Compressor72_8bits_Carry_Skip,EP4CE22F17C6
Compressor72_8bits_CLA,EP4CE22F17C6
Compressor72_8bits_compressor_Kogge_Stone,EP4CE22F17C6
Compressor72_8bits_Ladner_Fischer,EP4CE22F17C6
Compressor72_8bits_mais,EP4CE22F17C6
Compressor72_8bits_RCA,EP4CE22F17C6
Compressor72_8bits_Sklansky,EP4CE22F17C6
Compressor82_16bits_Brent_Kung,EP4CE22F17C6
Compressor82_16bits_CLA,EP4CE22F17C6
Compressor82_16bits_Carry_Select,EP4CE22F17C6
Compressor82_16bits_Carry_Skip,EP4CE22F17C6
Compressor82_16bits_Kogge_Stone,EP4CE22F17C6
Compressor82_16bits_Ladner_Fischer,EP4CE22F17C6
Compressor82_16bits_mais,EP4CE22F17C6
Compressor82_16bits_RCA,EP4CE22F17C6
Compressor82_16bits_Sklansky,EP4CE22F17C6
Compressor82_8bits_Brent_Kung,EP4CE22F17C6
Compressor82_8bits_Carry_Select,EP4CE22F17C6
Compressor82_8bits_Carry_Skip,EP4CE22F17C6
Compressor82_8bits_CLA,EP4CE22F17C6
Compressor82_8bits_Kogge_Stone,EP4CE22F17C6
Compressor82_8bits_Ladner_Fischer,EP4CE22F17C6
Compressor82_8bits_mais,EP4CE22F17C6
Compressor82_8bits_RCA,EP4CE22F17C6
Compressor82_8bits_Sklansky,EP4CE22F17C6
vitis_modificado_3somador16bits,EP4CE22F17C6
vitis_modificado_3somador8bits,EP4CE22F17C6
vitis_modificado_4somador16bits,EP4CE22F17C6
vitis_modificado_4somador8bits,EP4CE22F17C6
vitis_modificado_5somador16bits,EP4CE22F17C6
vitis_modificado_5somador8bits,EP4CE22F17C6
vitis_modificado_7somador16bits,EP4CE22F17C6
vitis_modificado_7somador8bits,EP4CE22F17C6
vitis_modificado_8somador16bits,EP4CE22F17C6
vitis_modificado_8somador8bits,EP4CE22F17C6
