DESIGN,LEs,FMAX (85C),PASTA,STATUS
Compressor32_16bits_Brent_Kung,101,204.58,Compressor32_16bits\compressor_Brent_Kung\output_files,OK
Compressor32_16bits_Carry_Select,91,209.47,Compressor32_16bits\compressor_Carry_Select\output_files,OK
Compressor32_16bits_Carry_Skip,92,146.58,Compressor32_16bits\compressor_Carry_Skip\output_files,OK
Compressor32_16bits_CLA,72,161.79,Compressor32_16bits\compressor_CLA\output_files,OK
Compressor32_16bits_Kogge_Stone,118,256.21,Compressor32_16bits\compressor_Kogge_Stone\output_files,OK
Compressor32_16bits_Ladner_Fischer,118,261.64,Compressor32_16bits\compressor_Ladner_Fischer\output_files,OK
Compressor32_16bits_mais,85,362.32,Compressor32_16bits\compressor_mais\output_files,OK
Compressor32_16bits_RCA,73,158.88,Compressor32_16bits\compressor_RCA\output_files,OK
Compressor32_16bits_Sklansky,118,261.64,Compressor32_16bits\compressor_Sklansky\output_files,OK
compressor32_8bits_brent_kung,48,346.86,Compressor32_8bits\compressor_Brent_Kung\output_files,OK
Compressor32_8bits_Carry_Select,41,373.55,Compressor32_8bits\compressor_Carry_Select\output_files,OK
Compressor32_8bits_arry_Skip,42,290.78,Compressor32_8bits\compressor_Carry_Skip\output_files,OK
Compressor32_8bits_CLA,42,277.7,Compressor32_8bits\compressor_CLA\output_files,OK
Compressor32_8bits_Kogge_Stone,48,346.26,Compressor32_8bits\compressor_Kogge_Stone\output_files,OK
Compressor32_8bits_Ladner_Fischer,48,391.39,Compressor32_8bits\compressor_Ladner_Fischer\output_files,OK
Compressor32_8bits_RCA,42,277.7,Compressor32_8bits\compressor_RCA\output_files,OK
Compressor32_8bits_Sklansky,53,395.57,Compressor32_8bits\compressor_Sklansky\output_files,OK
Compressor42_16bits_Brent_Kung,122,200.36,Compressor42_16bits\compressor_Brent_Kung\output_files,OK
Compressor42_16bits_Carry_Select,139,225.43,Compressor42_16bits\compressor_Carry_Select\output_files,OK
Compressor42_16bits_Carry_Skip,122,129.74,Compressor42_16bits\compressor_Carry_Skip\output_files,OK
Compressor42_16bits_CLA,103,143.72,Compressor42_16bits\compressor_CLA\output_files,OK
Compressor42_16bits_Kogge_Stone,183,214.96,Compressor42_16bits\compressor_Kogge_Stone\output_files,OK
Compressor42_16bits_Ladner_Fischer,183,214.96,Compressor42_16bits\compressor_Ladner_Fischer\output_files,OK
Compressor42_16bits_mais,108,289.35,Compressor42_16bits\compressor_mais\output_files,OK
Compressor42_16bits_RCA,105,142.05,Compressor42_16bits\compressor_RCA\output_files,OK
Compressor42_16bits_Sklansky,183,214.96,Compressor42_16bits\compressor_Sklansky\output_files,OK
Compressor42_8bits_Brent_Kung,62,304.97,Compressor42_8bits\compressor_Brent_Kung\output_files,OK
Compressor42_8bits_Carry_Select,62,288.68,Compressor42_8bits\compressor_Carry_Select\output_files,OK
Compressor42_8bits_Carry_Skip,67,257.8,Compressor42_8bits\compressor_Carry_Skip\output_files,OK
Compressor42_8bits_CLA,55,261.57,Compressor42_8bits\compressor_CLA\output_files,OK
Compressor42_8bits_Kogge_Stone,70,294.99,Compressor42_8bits\compressor_Kogge_Stone\output_files,OK
Compressor42_8bits_Ladner_Fischer,64,312.4,Compressor42_8bits\compressor_Ladner_Fischer\output_files,OK
Compressor42_8bits_mais,54,336.7,Compressor42_8bits\compressor_mais\output_files,OK
Compressor42_8bits_RCA,57,256.87,Compressor42_8bits\compressor_RCA\output_files,OK
Compressor42_8bits_Sklansky,73,294.99,Compressor42_8bits\compressor_Sklansky\output_files,OK
Compressor52_8bits_Brent_Kung,94,228.1,Compressor52_8bits\compressor_Brent_Kung\output_files,OK
Compressor52_8bits_Carry_Select,81,259.94,Compressor52_8bits\compressor_Carry_Select\output_files,OK
Compressor52_8bits_Carry_Skip,81,195.2,Compressor52_8bits\compressor_Carry_Skip\output_files,OK
